課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Introduction to Data Analytics on Google Cloud,4.6 out of 5 stars,10 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-data-analytics-on-google-cloud,5 modules,"SQL, Data-Driven Decision-Making, Dashboard, Data Presentation, Data Storage, Data Analysis, Data Storytelling, Business Intelligence, Analytics, Google Cloud Platform, Data Visualization Software, Looker (Software), Big Data",Course Introduction | Understand the Data Analytics Lifecycle on Google Cloud | Explore Data and Extract Insights by Using BigQuery | Make Data-driven Decisions by Using Looker | Course Summary,"Google Cloud Training, Google Cloud",Starts Jul 19,4 hours to complete,
Intermediate 3D Modelling and Game Asset Creation,N/A,N/A,Intermediate · Course · 3 - 6 Months,https://www.coursera.org/learn/packt-intermediate-3d-modelling-and-game-asset-creation-inb1l,19 modules,"Unreal Engine, Animation and Game Design, Unity Engine, 3D Modeling, Performance Tuning, Augmented and Virtual Reality (AR/VR), Computer Graphics, Video Game Development",Speeding Up Our Workflow | Creating Furniture Like Ikea | Working with Cloth | Customizing Decal Materials | A Crash Course in Geometry Nodes | Game of Thrones Style Stocks | Working with Emission Materials | Creating Realism in Our Prop | What Is Modifier Stacking? | How to Create Low-Poly Weapons | Creative Ways of Using Topology | Creating More Complex Geometry Nodes | Modelling the Final More Complex Props | Bringing All Our Modelling Techniques Together | Working with Blender Cycles X | Compositing Renders | Welcome to Realtime Rendering | Learning about Animation Paths | Unreal Engine 5 Blender Setup,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Desarrollo y Diseño de Videojuegos: Proyecto final,5 out of 5 stars,7 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/proyecto-desarrollo-videojuegos,8 modules,"Virtual Reality, Software Development Methodologies, Technical Documentation, Agile Software Development, Video Production, Software Design Documents, User Interface (UI), Sprint Planning, Video Game Development, Game Design, Digital Publishing, Augmented and Virtual Reality (AR/VR), Prototyping, Agile Methodology","IntroducciÃ³n al Curso y el Primer MÃ³dulo | MÃ³dulo 2. Primer Sprint, Semana 1 | MÃ³dulo 3. Primer Sprint, Semana 2 | MÃ³dulo 4. Primer Sprint, Semana 3 | SesiÃ³n de juego y promociÃ³n | Segundo Sprint: Semana 1 | Segundo Sprint: Semana 2 | SesiÃ³n de juego. Documentos de entrega","Pablo Figueroa, Universidad de los Andes",Starts Jul 19,Flexible schedule,Learn at your own pace
Les Expressions Lambda et Java,4.7 out of 5 stars,11 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/les-expressions-lambda-et-java,,"Development Environment, Functional Design, Object Oriented Programming (OOP), Computer Programming, Java Programming, Java, Algorithms, Computational Thinking, Programming Principles",,"Amine Saddem, Coursera Project Network",,60  minutes,Learn at your own pace
Análisis de texto en archivos con Azure cognitive search,4.8 out of 5 stars,23 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/analisis-textos-archivos-servicios-cognitivos-azure,,"Data Storage Technologies, Unstructured Data, Cloud Storage, Data Processing, Microsoft Azure, Database Development, Application Development, Text Mining, Web Applications",,"Nestor Nicolas Campos Rojas, Coursera Project Network",,60 minutos,Learn at your own pace
Configuring for Scala with IntelliJ IDEA,4.6 out of 5 stars,21 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/configure-scala-intellij,,"Software Engineering, Build Tools, Software Development Tools, Software Development, Scala Programming, Software Installation, Development Environment, IntelliJ IDEA",,"Harrison Kong, Coursera Project Network",,1 hour,Learn at your own pace
Building Objects in C,4.6 out of 5 stars,10 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/building-objects-in-c,6 modules,"C (Programming Language), Python Programming, Data Structures, Algorithms, Object Oriented Programming (OOP), Computer Programming, Java, Debugging, Software Design, C++ (Programming Language)",Object Oriented Programming: History | Part 1: Object Oriented Programming | Part 2: Object Oriented Programming | Encapsulation | Part 1: Tree Maps and Hash Maps | Part 2: Tree Maps and Hash Maps,"Charles Russell Severance, University of Michigan",Starts Jul 19,20 hours to complete,
Core Java - Multithreading and Classes,4.8 out of 5 stars,12 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/core-java-multithreading-and-classes,1 module,"Mathematical Software, Java, Java Programming, Object Oriented Programming (OOP), Software Design Patterns",Multithreading and Core Classes in Java,,Starts Jul 19,3 hours to complete,
Building AI Applications with Haystack,4.4 out of 5 stars,12 reviews,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/building-ai-applications-with-haystack,,"Artificial Intelligence, Generative AI Agents, Generative AI, OpenAI, Large Language Modeling, Application Frameworks, Application Development, Prompt Engineering, Data Pipelines",,Tuana Ãelik,,1 hour,Learn at your own pace
Game Development: HTML to Unreal Engine Mastery,4.6 out of 5 stars,11 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/game-development-html-to-unreal-engine-mastery,1 module,"Software Design, User Interface (UI), HTML and CSS, Debugging, Computing Platforms, Animations, Game Design, Video Game Development, Unreal Engine",Game Development: HTML to Unreal Engine Mastery,"Karlis Zars, Coursera Instructor Network",Starts Jul 19,2 hours to complete,
FPGA computing systems: Partial Dynamic Reconfiguration,4 out of 5 stars,9 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/copy-of-fpga-intro,4 modules,"Hardware Architecture, Cloud Infrastructure, Software Design, Technical Design, System Design and Implementation, Microarchitecture, Systems Design, Application Specific Integrated Circuits, Computer Architecture, Cloud Computing, Embedded Systems",An Introduction to Reconfigurations | Towards Partial Dynamic Reconfiguration and Complex FPGA-based systems | Design Flows | Closing remarks and future directions,"Marco Domenico Santambrogio, Politecnico di Milano",Starts Jul 19,Flexible schedule,Learn at your own pace
